product_name,category,units_sold,revenue_usd,profit_margin,listed_at
"Thompson, Jr. — ""Pro"" Kit",Electronics,1240,"24,800.00",0.42,2024-01-15 09:30:00
Widget Max,Electronics,820,"20,500.00",0.35,2024-01-18 14:22:00
"Bundle: 3-pack, assorted",Books,1500,"18,000.00",0.28,2024-02-03 11:15:00
'+12V Power Supply,Electronics,640,"9,600.00",0.18,2024-02-20 16:45:00
"Gadget ""Lite"" (refurb)",Electronics,410,"8,200.00",0.31,2024-03-01 10:00:00
Garden Gnome 6ft,Home,290,"7,250.00",0.44,2024-03-12 08:30:00
Coffee Table,Home,180,"5,400.00",0.38,2024-03-18 13:45:00
Desk Lamp,Home,320,"4,800.00",0.25,2024-04-05 09:15:00
Water Bottle,Sports,760,"3,800.00",0.15,2024-04-10 17:30:00
"Notebook, A4, 200pg",Books,540,"2,700.00",0.12,2024-04-22 12:00:00
